,entity_lang,entity_txt,entity_ids,sitelinks
174,es,26 a. c.,['Q41145'],[90]
175,es,26 a.c.,['Q41145'],[90]
176,es,26 adc,['Q41145'],[90]
177,es,260,['Q30311'],[121]
178,es,27 de septiembre,['Q2884'],[205]
179,es,27 de setiembre,['Q2884'],[205]
180,es,275 a c,['Q46137'],[78]
181,es,275 a. c.,['Q46137'],[78]
182,es,275 a.c.,['Q46137'],[78]
183,es,275 adc,['Q46137'],[78]
184,es,276,['Q32797'],[120]
185,es,28 de febrero,['Q2362'],[219]
186,es,28 de septiembre,['Q2883'],[207]
187,es,28 de setiembre,['Q2883'],[207]
188,es,28/02,['Q2362'],[219]
189,es,283,['Q32054'],[123]
190,es,285,['Q33744'],[120]
191,es,292,['Q32132'],[118]
192,es,295,['Q31925'],[119]
193,es,298,['Q33568'],[120]
194,es,2ª guerra mundial,['Q362'],[265]
195,es,2° guerra mundial,['Q362'],[265]
196,es,2° premio pueblo más bonito de ciudad real 2020,['Q54932'],[69]
197,es,3 de septiembre,['Q2860'],[208]
198,es,3 de setiembre,['Q2860'],[208]
199,es,300 a c,['Q47353'],[79]
200,es,300 a. c.,['Q47353'],[79]
201,es,300 a.c.,['Q47353'],[79]
202,es,300 adc,['Q47353'],[79]
203,es,304,['Q32149'],[123]
204,es,321,['Q33359'],[121]
205,es,323,['Q32836'],[119]
206,es,326,['Q34056'],[118]
207,es,332,['Q31568'],[118]
208,es,336,['Q32101'],[120]
209,es,338,['Q32415'],[118]
210,es,350s,['Q30926'],[76]
211,es,373,['Q34551'],[118]
212,es,379,['Q37154'],[120]
213,es,38 special,['Q24634'],[22]
214,es,387,['Q35302'],[118]
215,es,39° presidente de los estados unidos,['Q23685'],[172]
216,es,400,['Q25621'],[127]
217,es,414,['Q32761'],[116]
218,es,417,['Q32695'],[118]
219,es,419,['Q32386'],[116]
220,es,42 a c,['Q4201'],[92]
221,es,42 a. c.,['Q4201'],[92]
222,es,42 adc,['Q4201'],[92]
223,es,424,['Q31667'],[117]
224,es,425,['Q31183'],[118]
225,es,428,['Q30902'],[119]
226,es,446,['Q31076'],[117]
227,es,456,['Q30432'],[120]
228,es,456 a c,['Q25493'],[77]
229,es,456 a. c.,['Q25493'],[77]
230,es,456 a.c.,['Q25493'],[77]
231,es,456 adc,['Q25493'],[77]
232,es,458,['Q30922'],[119]
233,es,47 a c,['Q4209'],[92]
234,es,47 a. c.,['Q4209'],[92]
235,es,47 adc,['Q4209'],[92]
236,es,477,['Q24851'],[119]
237,es,48 a c,['Q41143'],[89]
238,es,48 a. c.,['Q41143'],[89]
239,es,48 adc,['Q41143'],[89]
240,es,4ever,"['Q28377', 'Q28377']","[7, 7]"
241,es,5 cep,['Q13259'],[34]
242,es,50,['Q30310'],[129]
243,es,50 dc,['Q30310'],[129]
244,es,500 millas de indianápolis,['Q8032'],[42]
245,es,503,['Q30975'],[117]
246,es,531,['Q32871'],[120]
247,es,54 a c,['Q41344'],[89]
248,es,54 a. c.,['Q41344'],[89]
249,es,54 adc,['Q41344'],[89]
250,es,540,['Q30900'],[122]
251,es,552,['Q25266'],[120]
252,es,554,['Q32167'],[119]
253,es,560,['Q32769'],[120]
254,es,567,['Q32555'],[117]
255,es,57,['Q30969'],[122]
256,es,576,['Q30984'],[119]
257,es,577,['Q32517'],[119]
258,es,579,['Q33524'],[120]
259,es,582,['Q32212'],[121]
260,es,589,['Q31429'],[119]
261,es,598,['Q31934'],[120]
262,es,601,['Q30597'],[123]
263,es,626,['Q31052'],[119]
264,es,630,['Q31060'],[121]
265,es,631,['Q31577'],[118]
266,es,640,['Q30626'],[120]
267,es,641,['Q31676'],[121]
268,es,644,['Q33275'],[121]
269,es,658,['Q30176'],[122]
270,es,66 a c,['Q42421'],[84]
271,es,66 a. c.,['Q42421'],[84]
272,es,66 a.c.,['Q42421'],[84]
273,es,66 adc,['Q42421'],[84]
274,es,673,['Q31105'],[122]
275,es,684,['Q31128'],[119]
276,es,685,['Q33480'],[121]
277,es,687,['Q30303'],[122]
278,es,69,['Q30203'],[128]
279,es,71,['Q30407'],[122]
280,es,75,['Q30409'],[123]
281,es,76,['Q24845'],[124]
282,es,762,['Q30324'],[129]
283,es,764,['Q31163'],[122]
284,es,772,['Q30729'],[122]
285,es,788,['Q30721'],[122]
286,es,789,['Q31558'],[122]
287,es,794,['Q30887'],[123]
288,es,8,['Q23348'],[144]
289,es,8 a c,['Q39166'],[95]
290,es,8 a. c.,['Q39166'],[95]
291,es,8 a.c.,['Q39166'],[95]
292,es,8 adc,['Q39166'],[95]
293,es,8 d c,['Q23348'],[144]
294,es,8 d. c.,['Q23348'],[144]
295,es,8 d.c.,['Q23348'],[144]
296,es,804,['Q29998'],[129]
297,es,81,['Q30190'],[122]
298,es,819,['Q30343'],[126]
299,es,85,['Q24836'],[123]
300,es,851,['Q29966'],[127]
301,es,856,['Q30370'],[124]
302,es,860,['Q24714'],[129]
303,es,866,['Q23872'],[131]
304,es,873,['Q30369'],[126]
305,es,874,['Q23843'],[127]
306,es,876,['Q23815'],[129]
307,es,893,['Q24762'],[131]
308,es,894,['Q30577'],[128]
309,es,896,['Q30465'],[131]
310,es,908,['Q30463'],[128]
311,es,912,['Q23837'],[132]
312,es,915,['Q24031'],[130]
313,es,918,['Q23877'],[130]
314,es,927,['Q30470'],[128]
315,es,928,['Q24297'],[130]
316,es,931,['Q24789'],[130]
317,es,936,['Q23584'],[133]
318,es,941,['Q24255'],[131]
319,es,947,['Q24333'],[130]
320,es,951,['Q23654'],[134]
321,es,952,['Q30175'],[129]
322,es,958,['Q23606'],[130]
323,es,959,['Q23750'],[130]
324,es,964,['Q23951'],[128]
325,es,965,['Q23647'],[131]
326,es,968,['Q23918'],[129]
327,es,97,['Q30960'],[123]
328,es,977,['Q23795'],[127]
329,es,979,['Q23784'],[129]
330,es,985,['Q23414'],[131]
331,es,:),['Q8'],[155]
332,es,a 113,['Q17019'],[14]
333,es,a 261,['Q17038'],[11]
334,es,a 37,['Q10803'],[18]
335,es,a 540,['Q17057'],[9]
336,es,a 542,['Q17058'],[9]
337,es,a 562,['Q17065'],[11]
338,es,a 6,['Q9016'],[24]
339,es,a 623,['Q17073'],[9]
340,es,a 63,['Q10829'],[15]
341,es,a 65,['Q10833'],[15]
342,es,a 659,['Q17081'],[9]
343,es,a 671,['Q17083'],[11]
344,es,a 73,['Q10844'],[16]
345,es,a 93,['Q10848'],[18]
346,es,a 94,['Q10849'],[15]
347,es,a&m,['Q49212'],[40]
348,es,a-10,['Q32472'],[8]
349,es,a. o. scott,['Q38351'],[21]
350,es,a.c. fiorentina,['Q2052'],[83]
351,es,a.c.f.,['Q2052'],[83]
352,es,a.c.f. fiorentina,['Q2052'],[83]
353,es,aa. nn.,['Q25227'],[126]
354,es,aann,['Q25227'],[126]
355,es,abada,['Q34718'],[145]
356,es,abadía de corvey,['Q56004'],[38]
357,es,abdomen,['Q34630'],[21]
358,es,abdomen artropodos,['Q34630'],[21]
359,es,abdomen artrópodos,['Q34630'],[21]
360,es,abdul kalam,['Q9513'],[92]
361,es,abeja domestica,['Q30034'],[100]
362,es,abeja doméstica,['Q30034'],[100]
363,es,abeja europea,['Q30034'],[100]
364,es,abeja mellifera,['Q30034'],[100]
365,es,abeja mellifera occidental,['Q30034'],[100]
366,es,abeja mellífera,['Q30034'],[100]
367,es,abeja mellífera occidental,['Q30034'],[100]
368,es,abejarron,['Q25407'],[105]
369,es,abejarrón,['Q25407'],[105]
370,es,abejero,['Q25510'],[88]
371,es,abejorro,['Q25407'],[105]
372,es,abel kiprop mutai,['Q1681'],[15]
373,es,abel mutai,['Q1681'],[15]
374,es,abercoque,['Q37453'],[123]
375,es,abercoquero,['Q37453'],[123]
376,es,abogada,['Q40348'],[137]
377,es,abogadas,['Q40348'],[137]
378,es,abogado,['Q40348'],[137]
379,es,abogados,['Q40348'],[137]
380,es,abricoquero,['Q37453'],[123]
381,es,abridor,['Q37453'],[123]
382,es,abu nuvos,['Q5670'],[138]
383,es,abu nuwas,['Q5670'],[138]
384,es,ac fiorentina,['Q2052'],[83]
385,es,accipitridae,['Q25510'],[88]
386,es,accipitridos,['Q25510'],[88]
387,es,accipitrinae,['Q25510'],[88]
388,es,accipítridos,['Q25510'],[88]
389,es,accra,['Q3761'],[183]
390,es,acebuche,['Q37083'],[134]
391,es,aceituno,['Q37083'],[134]
392,es,acetona,['Q49546'],[74]
393,es,acf,['Q2052'],[83]
394,es,acf fiorentina,['Q2052'],[83]
395,es,acheux,['Q27987'],[41]
396,es,acheux en amienois,['Q27987'],[41]
397,es,acheux en amiénois,['Q27987'],[41]
398,es,acheux en-amienois,['Q27987'],[41]
399,es,acheux en-amiénois,['Q27987'],[41]
400,es,acheux-en-amienois,['Q27987'],[41]
401,es,acheux-en-amiénois,['Q27987'],[41]
402,es,achille claude debussy,['Q4700'],[123]
403,es,achinech,['Q40846'],[128]
404,es,achineche,['Q40846'],[128]
405,es,achinet,['Q40846'],[128]
406,es,achireale,['Q19319'],[72]
407,es,acido fulminico,['Q45143'],[33]
408,es,acido fulmínico,['Q45143'],[33]
409,es,acireale,['Q19319'],[72]
410,es,aciriali,['Q19319'],[72]
411,es,acker bilk,['Q45610'],[25]
412,es,acra,['Q3761'],[183]
413,es,activo,['Q46737'],[68]
414,es,activo contable,['Q46737'],[68]
415,es,activo económico,['Q46737'],[68]
416,es,adamstown,['Q48273'],[71]
417,es,adamstown islas pitcairn,['Q48273'],[71]
418,es,adaptacion,['Q31235'],[38]
419,es,adaptación,['Q31235'],[38]
420,es,adeejahs,['Q41477'],[24]
421,es,adele golberg,['Q11605'],[25]
422,es,adele goldberg,['Q11605'],[25]
423,es,adeliza,['Q45465'],[11]
424,es,adeliza de normandía,['Q45465'],[11]
425,es,adicción,['Q12029'],[99]
426,es,administracion autonomica,['Q10742'],[100]
427,es,administración autonómica,['Q10742'],[100]
428,es,adobe inc.,['Q11463'],[82]
429,es,adrianus schenk,['Q41522'],[25]
430,es,advanced research and global observation satellite,['Q15015'],[6]
431,es,adão,['Q32652'],[11]
432,es,adão (guarda),['Q32652'],[11]
433,es,aegypiinae,['Q25510'],[88]
434,es,aeiparthénon,['Q46953'],[23]
435,es,aerobion,['Q21139'],[26]
436,es,aerodramus bartschi,['Q27581'],[18]
437,es,aerodramus fuciphagus,['Q31801'],[34]
438,es,aerodramus infuscatus,['Q27542'],[20]
439,es,aerodramus maximus,['Q27459'],[30]
440,es,aerodramus pelewensis,['Q27456'],[20]
441,es,aeronave,['Q11436'],[105]
442,es,aeronomia,['Q16360'],[33]
443,es,aeronomía,['Q16360'],[33]
444,es,aeroport de barcelona,['Q56973'],[53]
445,es,aeropuerto de amsterdam-schiphol,['Q9694'],[87]
446,es,aeropuerto de bangoka,['Q27596'],[20]
447,es,aeropuerto de barcelona,['Q56973'],[53]
448,es,aeropuerto de barcelona el prat,['Q56973'],[53]
449,es,aeropuerto de barcelona-el prat,['Q56973'],[53]
450,es,aeropuerto de barcelona-el prat de llobregat,['Q56973'],[53]
451,es,aeropuerto de benina,['Q44553'],[22]
452,es,aeropuerto de berlin-tegel,['Q9688'],[52]
453,es,aeropuerto de berlín-tegel,['Q9688'],[52]
454,es,aeropuerto de cam ranh,['Q25226'],[100]
455,es,aeropuerto de el prat,['Q56973'],[53]
456,es,aeropuerto de el prat de llobregat,['Q56973'],[53]
457,es,aeropuerto de kisangani,['Q27596'],[20]
458,es,aeropuerto de kisangani bangoka,['Q27596'],[20]
459,es,aeropuerto de kisangani-bangoka,['Q27596'],[20]
460,es,aeropuerto de lyon-bron,['Q4102'],[8]
461,es,aeropuerto de port lincoln,['Q15102'],[10]
462,es,aeropuerto de renmark,['Q15106'],[7]
463,es,aeropuerto de ámsterdam-schiphol,['Q9694'],[87]
464,es,aeropuerto del prat,['Q56973'],[53]
465,es,aeropuerto internacional de barcelona,['Q56973'],[53]
466,es,aeropuerto internacional de benina,['Q44553'],[22]
467,es,aeropuerto internacional de kazan,['Q47151'],[39]
468,es,aeropuerto internacional de kazán,['Q47151'],[39]
469,es,aeropuerto internacional del prat,['Q56973'],[53]
470,es,aeropuerto internacional del prat de llobregat,['Q56973'],[53]
471,es,aeropuerto internacional el prat,['Q56973'],[53]
472,es,aeropuerto josep tarradellas barcelona-el prat,['Q56973'],[53]
473,es,afrikanische konferenz,['Q13582'],[53]
474,es,afrique centrale,['Q27433'],[135]
475,es,agente 007,['Q844'],[100]
476,es,agi,['Q19052'],[41]
477,es,aglossorhyncha,['Q20817'],[19]
478,es,aglossorrhyncha,['Q20817'],[19]
479,es,aguilucho,['Q25510'],[88]
480,es,aguja del espacio,['Q5317'],[42]
481,es,agustin sauto arana,['Q31873'],[21]
482,es,agustín sauto arana,['Q31873'],[21]
483,es,ahmad tajuddin,['Q40111'],[14]
484,es,ai di,['Q7237'],[31]
485,es,ailurus fulgens,['Q41960'],[105]
486,es,ailurus fulguens,['Q41960'],[105]
487,es,ailurus fúlguens,['Q41960'],[105]
488,es,aimara tupino,"['Q33443', 'Q33443']","[18, 18]"
489,es,ainu,['Q27969'],[85]
490,es,aisne,"['Q3093', 'Q41962']","[102, 52]"
491,es,ajengibre,['Q35625'],[149]
492,es,aka-bo,"['Q35361', 'Q35361']","[27, 27]"
493,es,akileo,['Q41746'],[103]
494,es,aksana,['Q26295'],[20]
495,es,al hufuf,['Q27136'],[44]
496,es,al-battani,['Q11079'],[53]
497,es,al-hufuf,['Q27136'],[44]
498,es,alago,['Q34813'],[9]
499,es,alagoaniense,['Q40885'],[107]
500,es,alagoas,['Q40885'],[107]
501,es,alain marie pascal prost,['Q10494'],[70]
502,es,alain prost,['Q10494'],[70]
503,es,alano alemán,['Q5414'],[58]
504,es,albarcoque,['Q37453'],[123]
505,es,albarcoquero,['Q37453'],[123]
506,es,albaricoque,['Q37453'],[123]
507,es,albaricoque albar,['Q37453'],[123]
508,es,albaricoque castellano,['Q37453'],[123]
509,es,albaricoque de cuesco dulce,['Q37453'],[123]
510,es,albaricoque de hortelano,['Q37453'],[123]
511,es,albaricoque de hueso dulce,['Q37453'],[123]
512,es,albaricoque de nancy,['Q37453'],[123]
513,es,albaricoque de toledo,['Q37453'],[123]
514,es,albaricoque de toro,['Q37453'],[123]
515,es,albaricoque del patriarca,['Q37453'],[123]
516,es,albaricoque liso,['Q37453'],[123]
517,es,albaricoque ojo blanco,['Q37453'],[123]
518,es,albaricoque real,['Q37453'],[123]
519,es,albaricoque sevillano,['Q37453'],[123]
520,es,albaricoque temprano,['Q37453'],[123]
521,es,albaricoquero,['Q37453'],[123]
522,es,albarillo,['Q37453'],[123]
523,es,albarillo blanquillo,['Q37453'],[123]
524,es,albarillo damasco,['Q37453'],[123]
525,es,albarillo hereje,['Q37453'],[123]
526,es,alberchigal,['Q37453'],[123]
527,es,alberchiguero,['Q37453'],[123]
528,es,albercho,['Q37453'],[123]
529,es,albercoque,['Q37453'],[123]
530,es,albercoquero,['Q37453'],[123]
531,es,albercoqué,['Q37453'],[123]
532,es,alberge,['Q37453'],[123]
533,es,albergero,['Q37453'],[123]
534,es,albericoquero,['Q37453'],[123]
535,es,alberillo,['Q37453'],[123]
536,es,alberje,['Q37453'],[123]
537,es,alberjera,['Q37453'],[123]
538,es,alberjero,['Q37453'],[123]
539,es,alberto bayo,['Q13982'],[17]
540,es,alberto bayo giroud,['Q13982'],[17]
541,es,alberto bayo y giroud,['Q13982'],[17]
542,es,alberto clementino antónio vaquina,['Q34282'],[22]
543,es,alberto durero,['Q5580'],[173]
544,es,alberto vaquina,['Q34282'],[22]
545,es,albertosaurio,['Q40751'],[47]
546,es,albertosaurus,['Q40751'],[47]
547,es,albino luciani,['Q37278'],[121]
548,es,albrecht dürer,['Q5580'],[173]
549,es,albérchigo,['Q37453'],[123]
550,es,alcalinoterreo,['Q19563'],[105]
551,es,alcalinotérreo,['Q19563'],[105]
552,es,alce,['Q35517'],[123]
553,es,alces alces,['Q35517'],[123]
554,es,alcesa,['Q35517'],[123]
555,es,alcidae,['Q28294'],[71]
556,es,alcido,['Q28294'],[71]
557,es,aldaba,['Q12180'],[27]
558,es,alderamin,['Q13259'],[34]
559,es,aleacion,['Q37756'],[112]
560,es,aleaciones,['Q37756'],[112]
561,es,aleación,['Q37756'],[112]
562,es,aleck,['Q34286'],[145]
563,es,alegoria,['Q18535'],[87]
564,es,alegoría,['Q18535'],[87]
565,es,alegría,['Q8'],[155]
566,es,alejo iv,['Q37069'],[50]
567,es,alejo iv angelo,['Q37069'],[50]
568,es,alejo iv ángelo,['Q37069'],[50]
569,es,alemania,['Q183'],[378]
570,es,alemania nazi,['Q7318'],[157]
571,es,alergia,['Q42982'],[113]
572,es,alergias,['Q42982'],[113]
573,es,alergica,['Q42982'],[113]
574,es,alergico,['Q42982'],[113]
575,es,alertador,['Q26102'],[59]
576,es,alexander fleming,['Q37064'],[123]
577,es,alexander graham bell,['Q34286'],[145]
578,es,alexandre gustave eiffel,['Q20882'],[94]
579,es,alfa,"['Q9887', 'Q9887']","[100, 100]"
580,es,alfa cephei,['Q13259'],[34]
581,es,alfabeto cirilico,['Q8209'],[160]
582,es,alfabeto cirílico,['Q8209'],[160]
583,es,alfombrera de taiwan,['Q31753'],[15]
584,es,algarrobo loco,['Q29488'],[51]
585,es,algodres,['Q23989'],[11]
586,es,algodres (figueira de castelo rodrigo),['Q23989'],[11]
587,es,algodón de azúcar,['Q49737'],[55]
588,es,algonquina,['Q33392'],[57]
589,es,algoritmo de compresion con perdida,['Q55564'],[31]
590,es,algoritmo de compresión con pérdida,['Q55564'],[31]
591,es,alhama de córdoba,['Q33200'],[60]
592,es,aliaga,['Q55543'],[22]
593,es,aliaga de nueva ecija,['Q55543'],[22]
594,es,aliaga de nueva écija,['Q55543'],[22]
595,es,alice,['Q28121'],[27]
596,es,"alice, dakota del norte",['Q28121'],[27]
597,es,alins,['Q12672'],[29]
598,es,allmänna svenska elektriska aktiebolaget,['Q52665'],[21]
599,es,almendro,['Q39918'],[2]
600,es,alodia almira arraiza gosiengfiao,['Q29835'],[8]
601,es,alodia gosiengfiao,['Q29835'],[8]
602,es,alos,['Q49480'],[16]
603,es,alpenländische dachsbracke,['Q37498'],[23]
604,es,alpes reticos,['Q1277'],[28]
605,es,alpes réticos,['Q1277'],[28]
606,es,alta baviera,['Q10562'],[73]
607,es,altarpiece,['Q46686'],[33]
608,es,alto lusacio,['Q13248'],[78]
609,es,alto sorabo,['Q13248'],[78]
610,es,alto sorbio,['Q13248'],[78]
611,es,alubia,['Q42339'],[106]
612,es,alvarillos,['Q37453'],[123]
613,es,alvin e. roth,['Q28542'],[48]
614,es,alvin roth,['Q28542'],[48]
615,es,alérgica,['Q42982'],[113]
616,es,alérgico,['Q42982'],[113]
617,es,alíns,['Q12672'],[29]
618,es,amarillo,['Q943'],[168]
619,es,amasco,['Q37453'],[123]
620,es,amazonas,['Q44724'],[63]
621,es,amazonenses,['Q44724'],[63]
622,es,ambrosio,['Q43689'],[91]
623,es,ambrosio de milan,['Q43689'],[91]
624,es,ambrosio de milán,['Q43689'],[91]
625,es,amelecourt,['Q21571'],[39]
626,es,amelécourt,['Q21571'],[39]
627,es,amenemes iv,['Q19246'],[35]
628,es,amenemhat iv,['Q19246'],[35]
629,es,american football,['Q41323'],[110]
630,es,american telephone & telegraph company,['Q35476'],[69]
631,es,american telephone and telegraph,['Q35476'],[69]
632,es,amerika,['Q26290'],[43]
633,es,amorita,['Q35941'],[30]
634,es,amorreo,['Q35941'],[30]
635,es,amorrita,['Q35941'],[30]
636,es,amsterdam,['Q9899'],[9]
637,es,amund martin sjøbrend,['Q56660'],[12]
638,es,amund sjøbrend,['Q56660'],[12]
639,es,amérika,['Q26290'],[43]
640,es,ana de medici,['Q45435'],[6]
641,es,ana de médici,['Q45435'],[6]
642,es,ana lila downs sanchez,['Q23880'],[115]
643,es,ana lila downs sánchez,['Q23880'],[115]
644,es,anade rabudo,['Q25450'],[99]
645,es,anadir,['Q26390'],[55]
646,es,anapolis,['Q28271'],[117]
647,es,anas acuta,['Q25450'],[99]
648,es,anatol lunacharski,['Q18809'],[57]
649,es,anatoli lunacharski,['Q18809'],[57]
650,es,anatoli lunacharsky,['Q18809'],[57]
651,es,anatoli vasilevich lunacharsky,['Q18809'],[57]
652,es,anatoli vasilievich lunacharski,['Q18809'],[57]
653,es,anatoli vasílievich lunacharski,['Q18809'],[57]
654,es,anatoly lunacharsky,['Q18809'],[57]
655,es,anatomia,['Q514'],[174]
656,es,anatomía,['Q514'],[174]
657,es,anatomía canina,['Q38543'],[10]
658,es,anatomía de los perros,['Q38543'],[10]
